127.0.0.1, 2013-11-04 18:21:44, GET, /, HTTP/1.1, 303, 0.001004
127.0.0.1, 2013-11-04 18:21:45, GET, /welcome/default/index, HTTP/1.1, 200, 1.171416
127.0.0.1, 2013-11-04 18:21:45, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001430
127.0.0.1, 2013-11-04 18:21:45, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000590
127.0.0.1, 2013-11-04 18:21:45, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001623
127.0.0.1, 2013-11-04 18:21:45, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002186
127.0.0.1, 2013-11-04 18:21:45, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001701
127.0.0.1, 2013-11-04 18:21:45, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000406
127.0.0.1, 2013-11-04 18:21:45, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000373
127.0.0.1, 2013-11-04 18:21:45, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000359
127.0.0.1, 2013-11-04 18:21:45, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000364
127.0.0.1, 2013-11-04 18:21:45, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000368
127.0.0.1, 2013-11-04 18:21:45, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000267
127.0.0.1, 2013-11-04 18:21:46, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000593
127.0.0.1, 2013-11-04 18:21:46, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000385
127.0.0.1, 2013-11-04 18:21:46, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000673
127.0.0.1, 2013-11-04 18:21:46, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000804
127.0.0.1, 2013-11-04 18:21:46, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000424
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/default/index, HTTP/1.1, 200, 0.018267
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000607
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000559
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.001390
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001527
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.001089
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.001554
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000431
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000895
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000324
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000359
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003476
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.000481
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000375
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000474
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000356
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000698
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.001192
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.001243
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.000736
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.003341
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.000308
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.001832
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.001455
127.0.0.1, 2013-11-04 18:21:55, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.001625
127.0.0.1, 2013-11-04 18:21:56, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000622
127.0.0.1, 2013-11-04 18:22:07, GET, /examples/default/support, HTTP/1.1, 200, 0.012319
127.0.0.1, 2013-11-04 18:22:10, GET, /examples/default/index, HTTP/1.1, 200, 0.018370
127.0.0.1, 2013-11-04 18:22:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.027995
127.0.0.1, 2013-11-04 18:22:17, GET, /admin/default/index, HTTP/1.1, 200, 0.672337
127.0.0.1, 2013-11-04 18:22:17, GET, /admin/static/_2.7.3/js/jquery.js, HTTP/1.1, 200, 0.001080
127.0.0.1, 2013-11-04 18:22:17, GET, /admin/static/_2.7.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001062
127.0.0.1, 2013-11-04 18:22:17, GET, /admin/static/_2.7.3/js/web2py.js, HTTP/1.1, 200, 0.001348
127.0.0.1, 2013-11-04 18:22:17, GET, /admin/static/_2.7.3/css/calendar.css, HTTP/1.1, 200, 0.002516
127.0.0.1, 2013-11-04 18:22:17, GET, /admin/static/_2.7.3/js/calendar.js, HTTP/1.1, 200, 0.001455
127.0.0.1, 2013-11-04 18:22:17, GET, /admin/static/_2.7.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003083
